maker,model,mileage,manufacture_year,engine_displacement,engine_power,transmission,door_count,seat_count,fuel_type,date_created,date_last_seen,views,ratings,price_eur
jaguar,xkr,6884,2012,5000,375,auto,2,4,gasoline,2015-12-28 12:10:16.0216+00,2016-01-05 00:16:37.426028+00,272,3,66406.66
ford,fiesta,140000,2009,1242,60,man,4,5,gasoline,2015-12-28 12:14:11.556725+00,2016-02-11 15:23:55.455143+00,215,6,4501.33
bmw,m3,172000,1997,3201,236,man,2,5,gasoline,2015-12-28 12:14:54.932054+00,2016-01-18 01:48:03.285211+00,205,9,14403.26
mercedes-benz,vito,265776,2012,2987,165,auto,4,2,diesel,2015-12-28 12:15:06.344659+00,2016-01-18 01:28:42.164055+00,107,6,10507.11
fiat,ulysse,117791,2005,2179,94,man,5,5,diesel,2015-12-28 12:34:24.076917+00,2016-01-17 16:33:34.759994+00,117,8,4034.05
opel,meriva,110000,2005,1598,74,auto,4,5,gasoline,2015-12-28 12:47:59.657892+00,2016-02-26 13:00:02.029395+00,277,3,3991.19
skoda,fabia,21320,2013,1197,63,man,4,5,gasoline,2015-12-28 12:53:09.007659+00,2016-01-18 03:15:50.107648+00,251,7,9942.93
skoda,octavia,29000,2015,1968,110,man,4,5,diesel,2015-12-28 12:54:36.932564+00,2016-02-11 15:46:25.691211+00,285,2,23031.83
opel,omega,209000,2000,2198,106,man,4,5,gasoline,2015-12-28 13:50:42.864521+00,2016-01-07 05:32:54.296668+00,119,7,700.22
suzuki,grand-vitara,79900,2010,1586,78,man,2,4,gasoline,2015-12-28 13:50:59.753917+00,2016-02-26 14:00:08.369665+00,240,8,11503.4
opel,astra,32500,2012,1598,85,man,4,5,gasoline,2015-12-28 13:51:53.586564+00,2016-02-26 14:00:13.989424+00,213,9,9615.84
audi,a3,75800,2010,1197,77,man,2,4,gasoline,2015-12-28 13:52:06.412403+00,2016-02-11 16:16:58.269413+00,273,0,17005.03
audi,q3,8000,2015,1395,110,auto,4,5,gasoline,2015-12-28 14:40:11.820073+00,2016-02-26 14:45:05.062249+00,103,10,26553.85
audi,a4,277000,1999,1781,92,man,4,5,gasoline,2015-12-28 14:53:58.381111+00,2015-12-29 17:08:25.607099+00,111,5,1250.37
fiat,bravo,72665,2011,1598,77,man,4,5,diesel,2015-12-28 15:02:45.493503+00,2016-01-18 12:00:57.981431+00,248,8,8001.37
ford,c-max,135907,2005,1600,80,man,5,5,diesel,2015-12-28 15:14:12.628136+00,2016-01-20 03:41:16.221807+00,113,1,3552.92
subaru,forester,200280,1999,1994,92,man,4,5,gasoline,2015-12-28 16:00:33.383288+00,2016-02-10 21:33:14.918753+00,158,5,3501.04
citroen,c1,47000,2009,998,50,man,4,4,gasoline,2015-12-28 16:44:18.752116+00,2016-02-26 16:45:05.380699+00,177,4,5200.56
audi,a4,135893,2006,2967,171,auto,2,4,diesel,2015-12-28 16:52:26.924014+00,2016-01-21 09:21:24.099267+00,159,0,13503
audi,a3,200000,2007,1896,77,man,2,5,diesel,2015-12-28 17:38:19.517452+00,2016-01-03 02:19:11.663069+00,287,8,6000.78
jaguar,xj6,90000,1972,4235,180,man,4,5,gasoline,2015-12-28 17:42:15.417393+00,2016-01-24 04:59:21.649133+00,108,0,12903.81
toyota,yaris,189000,2001,1299,63,man,4,5,gasoline,2015-12-28 18:03:24.90492+00,2015-12-29 20:16:18.151843+00,255,10,2000.59
ford,focus,70000,2012,1560,85,man,4,5,diesel,2015-12-28 18:45:59.530384+00,2016-01-21 11:33:42.322327+00,158,2,8936.64
opel,insignia,216800,2011,1956,118,man,4,5,diesel,2015-12-28 18:50:52.757676+00,2016-01-18 13:19:20.906835+00,100,0,7502.22
volvo,v70,308000,1998,2435,106,man,4,5,gasoline,2015-12-28 19:12:49.904198+00,2016-01-18 13:41:43.285071+00,263,3,1700.11
opel,mokka,2000,2015,1598,85,man,4,5,gasoline,2015-12-28 20:51:59.159983+00,2016-02-26 21:00:05.122364+00,214,5,15046.45
suzuki,wagon-r,41000,2001,1298,56,auto,4,4,gasoline,2015-12-28 20:52:09.482847+00,2016-02-26 21:00:07.432629+00,278,7,3500.04
opel,corsa,21615,2012,1229,51,man,2,5,gasoline,2015-12-28 20:56:08.861753+00,2016-01-18 17:13:24.385466+00,261,10,7902.33
ford,focus,41000,2001,1388,55,man,2,5,gasoline,2015-12-28 21:01:24.959112+00,2016-02-26 21:15:04.203849+00,130,4,3601.07
audi,a3,102500,2008,1390,92,man,4,5,gasoline,2015-12-28 21:17:10.478867+00,2016-02-10 23:39:49.776703+00,93,4,9502.81
ford,focus,82000,2012,1599,85,man,4,5,diesel,2015-12-28 22:21:09.543358+00,2016-02-26 22:30:00.95182+00,142,10,9800.74
opel,mokka,17285,2015,1686,96,man,4,5,diesel,2015-12-28 22:22:19.093641+00,2016-02-26 22:30:02.605868+00,204,5,19691.45
opel,insignia,174378,2012,1956,118,auto,4,5,diesel,2015-12-28 23:25:00.484115+00,2016-02-26 23:30:04.263548+00,101,7,10918.25
bmw,x5,92634,2012,2993,225,auto,4,5,diesel,2015-12-28 23:26:36.829268+00,2016-01-18 20:01:05.220989+00,196,8,30243.97
ford,kuga,7070,2015,1498,110,man,4,5,gasoline,2015-12-28 23:56:39.211118+00,2015-12-31 02:47:01.172882+00,86,9,19959.47
opel,agila,20454,2011,996,48,man,4,5,gasoline,2015-12-29 01:03:13.893475+00,2016-01-05 12:51:36.108915+00,251,7,7900.59
opel,astra,54761,2012,1686,92,man,4,5,diesel,2015-12-29 01:03:14.395187+00,2016-02-27 01:15:02.614716+00,115,2,14471.06
audi,a7,71017,2012,2995,228,auto,4,5,gasoline,2015-12-29 02:17:42.352537+00,2016-01-05 13:37:59.790984+00,254,5,33607.48
bmw,x3,44867,2013,2993,190,auto,4,5,diesel,2015-12-29 03:46:16.984352+00,2015-12-31 07:01:49.160147+00,205,3,40036.97
opel,astra,85000,2014,1686,95,man,2,5,diesel,2015-12-29 04:04:43.53547+00,2015-12-30 05:23:15.410979+00,111,7,11393.86
fiat,punto,27600,2015,1242,51,man,4,5,gasoline,2015-12-29 04:16:28.817863+00,2015-12-30 06:00:45.176913+00,230,7,8115.62
audi,a3,7300,2015,1395,92,man,4,5,gasoline,2015-12-29 04:18:36.920968+00,2015-12-30 06:03:25.886877+00,162,6,24181.79
ford,mustang,2000,2015,4951,308,auto,2,4,gasoline,2015-12-29 04:50:54.566179+00,2016-01-07 20:22:23.067696+00,122,7,40330.98
opel,corsa,4000,2014,1398,66,man,4,5,gasoline,2015-12-29 06:16:56.337164+00,2016-01-17 14:06:18.051633+00,89,7,9664.73
kia,sorento,174000,2008,2497,125,auto,4,5,diesel,2015-12-29 07:49:45.575283+00,2015-12-30 09:05:38.791223+00,274,10,7770.58
toyota,avensis,400000,2002,1995,81,man,4,5,diesel,2015-12-29 09:32:11.441475+00,2016-02-27 09:45:01.333812+00,78,1,1100.07
skoda,rapid,10138,2014,1200,63,man,5,5,gasoline,2015-12-29 09:39:29.19418+00,2016-01-19 15:29:04.055093+00,92,4,10473.72
opel,zafira,125000,2007,1796,103,man,4,7,gasoline,2015-12-29 09:56:01.133591+00,2016-01-03 18:05:40.993092+00,269,4,4958.36
hyundai,i30,52200,2012,1400,80,man,5,5,gasoline,2015-12-29 10:04:28.287486+00,2016-01-01 06:53:49.559681+00,175,0,8512.21
smart,fortwo,109000,2007,999,52,man,2,2,gasoline,2015-12-29 11:00:25.460103+00,2016-01-17 19:52:43.876507+00,168,10,3890.3
mini,one,31500,2009,1397,70,man,2,4,gasoline,2015-12-29 11:01:14.09006+00,2016-01-17 19:52:47.410823+00,179,7,9990.75
ford,focus,99496,2009,1596,85,man,4,5,gasoline,2015-12-29 11:43:32.705774+00,2016-02-27 11:45:05.394994+00,139,6,6990.53
skoda,octavia,262000,2000,1896,81,man,5,5,diesel,2015-12-29 15:01:33.617448+00,2016-01-19 23:08:55.652092+00,173,5,2405.63
hyundai,i30,88375,2012,1582,66,man,4,5,diesel,2015-12-29 15:36:46.055625+00,2016-01-18 04:18:16.961807+00,208,2,9900.74
hummer,h3,90000,2008,3653,180,auto,4,5,gasoline,2015-12-29 15:38:52.816064+00,2016-02-27 15:45:19.196769+00,175,2,18901.41
honda,civic,18500,2015,1798,104,man,4,5,gasoline,2015-12-29 15:43:45.106764+00,2016-02-27 15:45:24.542916+00,281,2,15455.14
mini,cooper,38300,2012,1598,90,man,2,4,gasoline,2015-12-29 15:57:26.795452+00,2016-01-27 16:48:05.919661+00,204,10,13336.97
opel,insignia,148831,2010,2000,118,auto,5,5,diesel,2015-12-29 16:05:40.031109+00,2016-02-11 07:14:42.122088+00,94,6,9770.54
toyota,rav4,105358,2006,2200,130,man,5,5,diesel,2015-12-29 16:05:52.42183+00,2016-02-11 07:14:37.428999+00,76,7,8401.18
audi,a4,243500,1997,1781,92,man,4,5,gasoline,2015-12-29 16:59:26.364574+00,2016-01-18 06:25:52.419642+00,91,10,1265.1
bmw,x1,109133,2010,1995,130,man,4,5,diesel,2015-12-29 17:02:12.988031+00,2016-02-11 16:53:20.91499+00,84,2,17901.33
smart,forfour,84700,2004,1124,55,man,4,4,gasoline,2015-12-29 17:17:55.676479+00,2016-02-27 17:30:04.115879+00,246,9,4200.3
chrysler,300c,116300,2010,2987,160,auto,4,5,diesel,2015-12-29 17:18:07.843719+00,2016-02-27 17:30:06.365313+00,131,9,17291.27
ford,focus,133000,2009,1596,85,man,4,5,gasoline,2015-12-29 17:18:28.21067+00,2016-02-27 17:30:06.828036+00,114,0,6750.52
audi,a8,284893,2003,4172,246,auto,4,5,gasoline,2015-12-29 17:27:30.323448+00,2016-01-22 18:04:27.760783+00,143,9,6658.03
audi,q3,28512,2012,1968,103,man,4,5,diesel,2015-12-29 17:41:03.144055+00,2016-02-27 17:45:06.251804+00,79,7,26691.97
skoda,fabia,176000,2005,1390,55,man,4,5,gasoline,2015-12-29 17:53:21.194243+00,2015-12-30 19:18:40.144297+00,231,0,1850.15
audi,q5,266714,2010,2967,176,auto,4,5,diesel,2015-12-29 19:08:36.454604+00,2016-01-05 05:08:48.375893+00,223,7,15122.46
audi,a4,161800,2008,1968,125,man,4,5,diesel,2015-12-29 19:09:38.851564+00,2016-01-18 10:20:20.327933+00,252,9,9382.79
audi,a3,85354,2008,1984,147,auto,4,5,gasoline,2015-12-29 19:32:28.138154+00,2016-01-24 04:22:09.932913+00,233,10,13854.11
toyota,rav4,27461,2007,1998,112,man,4,5,gasoline,2015-12-29 19:34:12.336146+00,2016-02-27 19:45:09.418959+00,111,0,12987.86
